Field ID,Description,Category,Type
5901,Age when diabetes-related eye disease diagnosed,Eyesight,
3680,Age when last ate meat,Diet,
2804,Age when last used oral contraceptive pill,Female-specific factors,
5430,Age when loss of vision due to injury or trauma diagnosed,Eyesight,
2714,Age when periods started (menarche),Female-specific factors,
111,Aide-memoire completed,Procedural metrics,
23460,Alanine,NMR metabolomics,
30620,Alanine aminotransferase,Blood biochemistry,
30622,Alanine aminotransferase aliquot,Blood biochemistry processing,
30621,Alanine aminotransferase assay date,Blood biochemistry processing,
30623,Alanine aminotransferase correction level,Blood biochemistry processing,
30624,Alanine aminotransferase correction reason,Blood biochemistry processing,
30625,Alanine aminotransferase missing reason,Blood biochemistry processing,
30626,Alanine aminotransferase reportability,Blood biochemistry processing,
23760,"Alanine, QC Flag",NMR metabolomics QC indicators,
23479,Albumin,NMR metabolomics,
30600,Albumin,Blood biochemistry,
30602,Albumin aliquot,Blood biochemistry processing,
30601,Albumin assay date,Blood biochemistry processing,
30603,Albumin correction level,Blood biochemistry processing,
30604,Albumin correction reason,Blood biochemistry processing,
30605,Albumin missing reason,Blood biochemistry processing,
30606,Albumin reportability,Blood biochemistry processing,
23779,"Albumin, QC Flag",NMR metabolomics QC indicators,
20117,Alcohol drinker status,Alcohol,
1558,Alcohol intake frequency.,Alcohol,
1628,Alcohol intake versus 10 years previously,Alcohol,
1618,Alcohol usually taken with meals,Alcohol,
30610,Alkaline phosphatase,Blood biochemistry,
30612,Alkaline phosphatase aliquot,Blood biochemistry processing,
30611,Alkaline phosphatase assay date,Blood biochemistry processing,
30613,Alkaline phosphatase correction level,Blood biochemistry processing,
30614,Alkaline phosphatase correction reason,Blood biochemistry processing,
30615,Alkaline phosphatase missing reason,Blood biochemistry processing,
30616,Alkaline phosphatase reportability,Blood biochemistry processing,
25733,Amount of warping applied to non-linearly align T1 brain image to standard-space,T1 structural brain MRI,
23244,Android bone mass,Body composition by DXA,
23245,Android fat mass,Body composition by DXA,
23246,Android lean mass,Body composition by DXA,
23247,Android tissue fat percentage,Body composition by DXA,
23248,Android total mass,Body composition by DXA,
3143,Ankle spacing width,Bone-densitometry of heel,
4100,Ankle spacing width (left),Bone-densitometry of heel,
4119,Ankle spacing width (right),Bone-densitometry of heel,
2129,Answered sexual history questions,Sexual factors,
23359,Anterior thigh error indicator (left),Abdominal composition,
23361,Anterior thigh error indicator (right),Abdominal composition,
22405,Anterior thigh fat-free muscle volume (left),Abdominal composition,
22403,Anterior thigh fat-free muscle volume (right),Abdominal composition,
24353,Anterior thigh muscle fat infiltration (MFI) (left),Abdominal composition,
24354,Anterior thigh muscle fat infiltration (MFI) (right),Abdominal composition,
20199,Antibiotic codes for last 3 months,Medications,
23049,Antigen assay QC indicator,Infectious Disease Antigens,
23048,Antigen assay date,Infectious Disease Antigens,
20210,Aortic distensibilty images - DICOM,Heart MRI,‡
30630,Apolipoprotein A,Blood biochemistry,
30632,Apolipoprotein A aliquot,Blood biochemistry processing,
30631,Apolipoprotein A assay date,Blood biochemistry processing,
30633,Apolipoprotein A correction level,Blood biochemistry processing,
30634,Apolipoprotein A correction reason,Blood biochemistry processing,
30635,Apolipoprotein A missing reason,Blood biochemistry processing,
30636,Apolipoprotein A reportability,Blood biochemistry processing,
23440,Apolipoprotein A1,NMR metabolomics,
23740,"Apolipoprotein A1, QC Flag",NMR metabolomics QC indicators,
23439,Apolipoprotein B,NMR metabolomics,
30640,Apolipoprotein B,Blood biochemistry,
30642,Apolipoprotein B aliquot,Blood biochemistry processing,
30641,Apolipoprotein B assay date,Blood biochemistry processing,
30643,Apolipoprotein B correction level,Blood biochemistry processing,
30644,Apolipoprotein B correction reason,Blood biochemistry processing,
30645,Apolipoprotein B missing reason,Blood biochemistry processing,
30646,Apolipoprotein B reportability,Blood biochemistry processing,
23441,Apolipoprotein B to Apolipoprotein A1 ratio,NMR metabolomics,
23741,"Apolipoprotein B to Apolipoprotein A1 ratio, QC Flag",NMR metabolomics QC indicators,
23739,"Apolipoprotein B, QC Flag",NMR metabolomics QC indicators,
5266,Applanation curve (left),Intraocular pressure,†
5258,Applanation curve (right),Intraocular pressure,†
27059,Area of BA1 (left hemisphere),Freesurfer BA exvivo,
27101,Area of BA1 (right hemisphere),Freesurfer BA exvivo,
27060,Area of BA2 (left hemisphere),Freesurfer BA exvivo,
27102,Area of BA2 (right hemisphere),Freesurfer BA exvivo,
27061,Area of BA3a (left hemisphere),Freesurfer BA exvivo,
27103,Area of BA3a (right hemisphere),Freesurfer BA exvivo,
27062,Area of BA3b (left hemisphere),Freesurfer BA exvivo,
27104,Area of BA3b (right hemisphere),Freesurfer BA exvivo,
27066,Area of BA44 (left hemisphere),Freesurfer BA exvivo,
27108,Area of BA44 (right hemisphere),Freesurfer BA exvivo,
27067,Area of BA45 (left hemisphere),Freesurfer BA exvivo,
27109,Area of BA45 (right hemisphere),Freesurfer BA exvivo,
27063,Area of BA4a (left hemisphere),Freesurfer BA exvivo,
27105,Area of BA4a (right hemisphere),Freesurfer BA exvivo,
27064,Area of BA4p (left hemisphere),Freesurfer BA exvivo,
27106,Area of BA4p (right hemisphere),Freesurfer BA exvivo,
27065,Area of BA6 (left hemisphere),Freesurfer BA exvivo,
27107,Area of BA6 (right hemisphere),Freesurfer BA exvivo,
27334,Area of G+S-cingul-Ant (left hemisphere),Freesurfer a2009s,
27556,Area of G+S-cingul-Ant (right hemisphere),Freesurfer a2009s,
27335,Area of G+S-cingul-Mid-Ant (left hemisphere),Freesurfer a2009s,
27557,Area of G+S-cingul-Mid-Ant (right hemisphere),Freesurfer a2009s,
27336,Area of G+S-cingul-Mid-Post (left hemisphere),Freesurfer a2009s,
27558,Area of G+S-cingul-Mid-Post (right hemisphere),Freesurfer a2009s,
27329,Area of G+S-frontomargin (left hemisphere),Freesurfer a2009s,
27551,Area of G+S-frontomargin (right hemisphere),Freesurfer a2009s,
27330,Area of G+S-occipital-inf (left hemisphere),Freesurfer a2009s,
27552,Area of G+S-occipital-inf (right hemisphere),Freesurfer a2009s,
27331,Area of G+S-paracentral (left hemisphere),Freesurfer a2009s,
27553,Area of G+S-paracentral (right hemisphere),Freesurfer a2009s,
27332,Area of G+S-subcentral (left hemisphere),Freesurfer a2009s,
27554,Area of G+S-subcentral (right hemisphere),Freesurfer a2009s,
27333,Area of G+S-transv-frontopol (left hemisphere),Freesurfer a2009s,
27555,Area of G+S-transv-frontopol (right hemisphere),Freesurfer a2009s,
27345,Area of G-Ins-lg+S-cent-ins (left hemisphere),Freesurfer a2009s,
27567,Area of G-Ins-lg+S-cent-ins (right hemisphere),Freesurfer a2009s,
27337,Area of G-cingul-Post-dorsal (left hemisphere),Freesurfer a2009s,
27559,Area of G-cingul-Post-dorsal (right hemisphere),Freesurfer a2009s,
27338,Area of G-cingul-Post-ventral (left hemisphere),Freesurfer a2009s,
27560,Area of G-cingul-Post-ventral (right hemisphere),Freesurfer a2009s,
27339,Area of G-cuneus (left hemisphere),Freesurfer a2009s,
27561,Area of G-cuneus (right hemisphere),Freesurfer a2009s,
27340,Area of G-front-inf-Opercular (left hemisphere),Freesurfer a2009s,
27562,Area of G-front-inf-Opercular (right hemisphere),Freesurfer a2009s,
27341,Area of G-front-inf-Orbital (left hemisphere),Freesurfer a2009s,
27563,Area of G-front-inf-Orbital (right hemisphere),Freesurfer a2009s,
27342,Area of G-front-inf-Triangul (left hemisphere),Freesurfer a2009s,
27564,Area of G-front-inf-Triangul (right hemisphere),Freesurfer a2009s,
27343,Area of G-front-middle (left hemisphere),Freesurfer a2009s,
27565,Area of G-front-middle (right hemisphere),Freesurfer a2009s,
27344,Area of G-front-sup (left hemisphere),Freesurfer a2009s,
27566,Area of G-front-sup (right hemisphere),Freesurfer a2009s,
27346,Area of G-insular-short (left hemisphere),Freesurfer a2009s,
27568,Area of G-insular-short (right hemisphere),Freesurfer a2009s,
27349,Area of G-oc-temp-lat-fusifor (left hemisphere),Freesurfer a2009s,
27571,Area of G-oc-temp-lat-fusifor (right hemisphere),Freesurfer a2009s,
27350,Area of G-oc-temp-med-Lingual (left hemisphere),Freesurfer a2009s,
27572,Area of G-oc-temp-med-Lingual (right hemisphere),Freesurfer a2009s,
27351,Area of G-oc-temp-med-Parahip (left hemisphere),Freesurfer a2009s,
27573,Area of G-oc-temp-med-Parahip (right hemisphere),Freesurfer a2009s,
27347,Area of G-occipital-middle (left hemisphere),Freesurfer a2009s,
27569,Area of G-occipital-middle (right hemisphere),Freesurfer a2009s,
27348,Area of G-occipital-sup (left hemisphere),Freesurfer a2009s,
27570,Area of G-occipital-sup (right hemisphere),Freesurfer a2009s,
27352,Area of G-orbital (left hemisphere),Freesurfer a2009s,
27574,Area of G-orbital (right hemisphere),Freesurfer a2009s,
27353,Area of G-pariet-inf-Angular (left hemisphere),Freesurfer a2009s,
27575,Area of G-pariet-inf-Angular (right hemisphere),Freesurfer a2009s,
27354,Area of G-pariet-inf-Supramar (left hemisphere),Freesurfer a2009s,
27576,Area of G-pariet-inf-Supramar (right hemisphere),Freesurfer a2009s,
27355,Area of G-parietal-sup (left hemisphere),Freesurfer a2009s,
27577,Area of G-parietal-sup (right hemisphere),Freesurfer a2009s,
27356,Area of G-postcentral (left hemisphere),Freesurfer a2009s,
27578,Area of G-postcentral (right hemisphere),Freesurfer a2009s,
27357,Area of G-precentral (left hemisphere),Freesurfer a2009s,
27579,Area of G-precentral (right hemisphere),Freesurfer a2009s,
27358,Area of G-precuneus (left hemisphere),Freesurfer a2009s,
27580,Area of G-precuneus (right hemisphere),Freesurfer a2009s,
27359,Area of G-rectus (left hemisphere),Freesurfer a2009s,
27581,Area of G-rectus (right hemisphere),Freesurfer a2009s,
27360,Area of G-subcallosal (left hemisphere),Freesurfer a2009s,
27582,Area of G-subcallosal (right hemisphere),Freesurfer a2009s,
27361,Area of G-temp-sup-G-T-transv (left hemisphere),Freesurfer a2009s,
27583,Area of G-temp-sup-G-T-transv (right hemisphere),Freesurfer a2009s,
27362,Area of G-temp-sup-Lateral (left hemisphere),Freesurfer a2009s,
27584,Area of G-temp-sup-Lateral (right hemisphere),Freesurfer a2009s,
27363,Area of G-temp-sup-Plan-polar (left hemisphere),Freesurfer a2009s,
27585,Area of G-temp-sup-Plan-polar (right hemisphere),Freesurfer a2009s,
27364,Area of G-temp-sup-Plan-tempo (left hemisphere),Freesurfer a2009s,
27586,Area of G-temp-sup-Plan-tempo (right hemisphere),Freesurfer a2009s,
27365,Area of G-temporal-inf (left hemisphere),Freesurfer a2009s,
27587,Area of G-temporal-inf (right hemisphere),Freesurfer a2009s,
27366,Area of G-temporal-middle (left hemisphere),Freesurfer a2009s,
27588,Area of G-temporal-middle (right hemisphere),Freesurfer a2009s,
27367,Area of Lat-Fis-ant-Horizont (left hemisphere),Freesurfer a2009s,
27589,Area of Lat-Fis-ant-Horizont (right hemisphere),Freesurfer a2009s,
27368,Area of Lat-Fis-ant-Vertical (left hemisphere),Freesurfer a2009s,
27590,Area of Lat-Fis-ant-Vertical (right hemisphere),Freesurfer a2009s,
27369,Area of Lat-Fis-post (left hemisphere),Freesurfer a2009s,
27591,Area of Lat-Fis-post (right hemisphere),Freesurfer a2009s,
27070,Area of MT (left hemisphere),Freesurfer BA exvivo,
27112,Area of MT (right hemisphere),Freesurfer BA exvivo,
27370,Area of Pole-occipital (left hemisphere),Freesurfer a2009s,
27592,Area of Pole-occipital (right hemisphere),Freesurfer a2009s,
27371,Area of Pole-temporal (left hemisphere),Freesurfer a2009s,
27593,Area of Pole-temporal (right hemisphere),Freesurfer a2009s,
27372,Area of S-calcarine (left hemisphere),Freesurfer a2009s,
27594,Area of S-calcarine (right hemisphere),Freesurfer a2009s,
27373,Area of S-central (left hemisphere),Freesurfer a2009s,
27595,Area of S-central (right hemisphere),Freesurfer a2009s,
27374,Area of S-cingul-Marginalis (left hemisphere),Freesurfer a2009s,
27596,Area of S-cingul-Marginalis (right hemisphere),Freesurfer a2009s,
27375,Area of S-circular-insula-ant (left hemisphere),Freesurfer a2009s,
27597,Area of S-circular-insula-ant (right hemisphere),Freesurfer a2009s,
27376,Area of S-circular-insula-inf (left hemisphere),Freesurfer a2009s,
27598,Area of S-circular-insula-inf (right hemisphere),Freesurfer a2009s,
27377,Area of S-circular-insula-sup (left hemisphere),Freesurfer a2009s,
27599,Area of S-circular-insula-sup (right hemisphere),Freesurfer a2009s,
27378,Area of S-collat-transv-ant (left hemisphere),Freesurfer a2009s,
27600,Area of S-collat-transv-ant (right hemisphere),Freesurfer a2009s,
27379,Area of S-collat-transv-post (left hemisphere),Freesurfer a2009s,
27601,Area of S-collat-transv-post (right hemisphere),Freesurfer a2009s,
27380,Area of S-front-inf (left hemisphere),Freesurfer a2009s,
27602,Area of S-front-inf (right hemisphere),Freesurfer a2009s,
27381,Area of S-front-middle (left hemisphere),Freesurfer a2009s,
27603,Area of S-front-middle (right hemisphere),Freesurfer a2009s,
27382,Area of S-front-sup (left hemisphere),Freesurfer a2009s,
27604,Area of S-front-sup (right hemisphere),Freesurfer a2009s,
27383,Area of S-interm-prim-Jensen (left hemisphere),Freesurfer a2009s,
27605,Area of S-interm-prim-Jensen (right hemisphere),Freesurfer a2009s,
27384,Area of S-intrapariet+P-trans (left hemisphere),Freesurfer a2009s,
27606,Area of S-intrapariet+P-trans (right hemisphere),Freesurfer a2009s,
27385,Area of S-oc-middle+Lunatus (left hemisphere),Freesurfer a2009s,
27607,Area of S-oc-middle+Lunatus (right hemisphere),Freesurfer a2009s,
27386,Area of S-oc-sup+transversal (left hemisphere),Freesurfer a2009s,
27608,Area of S-oc-sup+transversal (right hemisphere),Freesurfer a2009s,
27388,Area of S-oc-temp-lat (left hemisphere),Freesurfer a2009s,
27610,Area of S-oc-temp-lat (right hemisphere),Freesurfer a2009s,
27389,Area of S-oc-temp-med+Lingual (left hemisphere),Freesurfer a2009s,
27611,Area of S-oc-temp-med+Lingual (right hemisphere),Freesurfer a2009s,
27387,Area of S-occipital-ant (left hemisphere),Freesurfer a2009s,
27609,Area of S-occipital-ant (right hemisphere),Freesurfer a2009s,
27392,Area of S-orbital-H-Shaped (left hemisphere),Freesurfer a2009s,
27614,Area of S-orbital-H-Shaped (right hemisphere),Freesurfer a2009s,
27390,Area of S-orbital-lateral (left hemisphere),Freesurfer a2009s,
27612,Area of S-orbital-lateral (right hemisphere),Freesurfer a2009s,
27391,Area of S-orbital-med-olfact (left hemisphere),Freesurfer a2009s,
27613,Area of S-orbital-med-olfact (right hemisphere),Freesurfer a2009s,
27393,Area of S-parieto-occipital (left hemisphere),Freesurfer a2009s,
27615,Area of S-parieto-occipital (right hemisphere),Freesurfer a2009s,
27394,Area of S-pericallosal (left hemisphere),Freesurfer a2009s,
27616,Area of S-pericallosal (right hemisphere),Freesurfer a2009s,
27395,Area of S-postcentral (left hemisphere),Freesurfer a2009s,
27617,Area of S-postcentral (right hemisphere),Freesurfer a2009s,
27396,Area of S-precentral-inf-part (left hemisphere),Freesurfer a2009s,
27618,Area of S-precentral-inf-part (right hemisphere),Freesurfer a2009s,
27397,Area of S-precentral-sup-part (left hemisphere),Freesurfer a2009s,
27619,Area of S-precentral-sup-part (right hemisphere),Freesurfer a2009s,
27398,Area of S-suborbital (left hemisphere),Freesurfer a2009s,
27620,Area of S-suborbital (right hemisphere),Freesurfer a2009s,
27399,Area of S-subparietal (left hemisphere),Freesurfer a2009s,
27621,Area of S-subparietal (right hemisphere),Freesurfer a2009s,
27400,Area of S-temporal-inf (left hemisphere),Freesurfer a2009s,
27622,Area of S-temporal-inf (right hemisphere),Freesurfer a2009s,
27401,Area of S-temporal-sup (left hemisphere),Freesurfer a2009s,
27623,Area of S-temporal-sup (right hemisphere),Freesurfer a2009s,
27402,Area of S-temporal-transverse (left hemisphere),Freesurfer a2009s,
27624,Area of S-temporal-transverse (right hemisphere),Freesurfer a2009s,
26721,Area of TotalSurface (left hemisphere),Freesurfer desikan white,
26923,Area of TotalSurface (left hemisphere),Freesurfer desikan pial,
26822,Area of TotalSurface (right hemisphere),Freesurfer desikan white,
26956,Area of TotalSurface (right hemisphere),Freesurfer desikan pial,
27068,Area of V1 (left hemisphere),Freesurfer BA exvivo,
27110,Area of V1 (right hemisphere),Freesurfer BA exvivo,
27069,Area of V2 (left hemisphere),Freesurfer BA exvivo,
27111,Area of V2 (right hemisphere),Freesurfer BA exvivo,
26722,Area of bankssts (left hemisphere),Freesurfer desikan white,
26924,Area of bankssts (left hemisphere),Freesurfer desikan pial,
26823,Area of bankssts (right hemisphere),Freesurfer desikan white,
26957,Area of bankssts (right hemisphere),Freesurfer desikan pial,
26723,Area of caudalanteriorcingulate (left hemisphere),Freesurfer desikan white,
26925,Area of caudalanteriorcingulate (left hemisphere),Freesurfer desikan pial,
27143,Area of caudalanteriorcingulate (left hemisphere),Freesurfer DKT,
26824,Area of caudalanteriorcingulate (right hemisphere),Freesurfer desikan white,
26958,Area of caudalanteriorcingulate (right hemisphere),Freesurfer desikan pial,
27236,Area of caudalanteriorcingulate (right hemisphere),Freesurfer DKT,
26724,Area of caudalmiddlefrontal (left hemisphere),Freesurfer desikan white,
26926,Area of caudalmiddlefrontal (left hemisphere),Freesurfer desikan pial,
27144,Area of caudalmiddlefrontal (left hemisphere),Freesurfer DKT,
26825,Area of caudalmiddlefrontal (right hemisphere),Freesurfer desikan white,
26959,Area of caudalmiddlefrontal (right hemisphere),Freesurfer desikan pial,
27237,Area of caudalmiddlefrontal (right hemisphere),Freesurfer DKT,
26725,Area of cuneus (left hemisphere),Freesurfer desikan white,
26927,Area of cuneus (left hemisphere),Freesurfer desikan pial,
27145,Area of cuneus (left hemisphere),Freesurfer DKT,
26826,Area of cuneus (right hemisphere),Freesurfer desikan white,
26960,Area of cuneus (right hemisphere),Freesurfer desikan pial,
27238,Area of cuneus (right hemisphere),Freesurfer DKT,
26726,Area of entorhinal (left hemisphere),Freesurfer desikan white,
26928,Area of entorhinal (left hemisphere),Freesurfer desikan pial,
27072,Area of entorhinal (left hemisphere),Freesurfer BA exvivo,
27146,Area of entorhinal (left hemisphere),Freesurfer DKT,
26827,Area of entorhinal (right hemisphere),Freesurfer desikan white,
26961,Area of entorhinal (right hemisphere),Freesurfer desikan pial,
27114,Area of entorhinal (right hemisphere),Freesurfer BA exvivo,
27239,Area of entorhinal (right hemisphere),Freesurfer DKT,
26752,Area of frontalpole (left hemisphere),Freesurfer desikan white,
26954,Area of frontalpole (left hemisphere),Freesurfer desikan pial,
26853,Area of frontalpole (right hemisphere),Freesurfer desikan white,
26987,Area of frontalpole (right hemisphere),Freesurfer desikan pial,
26727,Area of fusiform (left hemisphere),Freesurfer desikan white,
26929,Area of fusiform (left hemisphere),Freesurfer desikan pial,
27147,Area of fusiform (left hemisphere),Freesurfer DKT,
26828,Area of fusiform (right hemisphere),Freesurfer desikan white,
26962,Area of fusiform (right hemisphere),Freesurfer desikan pial,
27240,Area of fusiform (right hemisphere),Freesurfer DKT,
26728,Area of inferiorparietal (left hemisphere),Freesurfer desikan white,
26930,Area of inferiorparietal (left hemisphere),Freesurfer desikan pial,
27148,Area of inferiorparietal (left hemisphere),Freesurfer DKT,
26829,Area of inferiorparietal (right hemisphere),Freesurfer desikan white,
26963,Area of inferiorparietal (right hemisphere),Freesurfer desikan pial,
27241,Area of inferiorparietal (right hemisphere),Freesurfer DKT,
26729,Area of inferiortemporal (left hemisphere),Freesurfer desikan white,
26931,Area of inferiortemporal (left hemisphere),Freesurfer desikan pial,
27149,Area of inferiortemporal (left hemisphere),Freesurfer DKT,
26830,Area of inferiortemporal (right hemisphere),Freesurfer desikan white,
26964,Area of inferiortemporal (right hemisphere),Freesurfer desikan pial,
27242,Area of inferiortemporal (right hemisphere),Freesurfer DKT,
26754,Area of insula (left hemisphere),Freesurfer desikan white,
27173,Area of insula (left hemisphere),Freesurfer DKT,
26855,Area of insula (right hemisphere),Freesurfer desikan white,
27266,Area of insula (right hemisphere),Freesurfer DKT,
26730,Area of isthmuscingulate (left hemisphere),Freesurfer desikan white,
26932,Area of isthmuscingulate (left hemisphere),Freesurfer desikan pial,
27150,Area of isthmuscingulate (left hemisphere),Freesurfer DKT,
26831,Area of isthmuscingulate (right hemisphere),Freesurfer desikan white,
26965,Area of isthmuscingulate (right hemisphere),Freesurfer desikan pial,
27243,Area of isthmuscingulate (right hemisphere),Freesurfer DKT,
26731,Area of lateraloccipital (left hemisphere),Freesurfer desikan white,
26933,Area of lateraloccipital (left hemisphere),Freesurfer desikan pial,
27151,Area of lateraloccipital (left hemisphere),Freesurfer DKT,
26832,Area of lateraloccipital (right hemisphere),Freesurfer desikan white,
26966,Area of lateraloccipital (right hemisphere),Freesurfer desikan pial,
27244,Area of lateraloccipital (right hemisphere),Freesurfer DKT,
26732,Area of lateralorbitofrontal (left hemisphere),Freesurfer desikan white,
26934,Area of lateralorbitofrontal (left hemisphere),Freesurfer desikan pial,
27152,Area of lateralorbitofrontal (left hemisphere),Freesurfer DKT,
26833,Area of lateralorbitofrontal (right hemisphere),Freesurfer desikan white,
